code,date,close,recent_breakout_count_120d,trailing_return_pct,trade_outcome,days_to_outcome,outcome_return_pct
90200,2025-11-04,3673.0,0.0,6.4324171153301215,timeout_win,20.0,7.242036482439423
21080,2025-11-04,3040.0,0.0,5.65171317555634,take_profit,12.0,14.999999999999986
95080,2025-11-04,1577.0,0.0,3.802672147995889,timeout_win,20.0,5.104629042485732
95070,2025-11-04,1376.5,0.0,1.1376146788990826,take_profit,16.0,14.999999999999995
44710,2025-11-04,4225.0,0.0,4.477611940298507,timeout_win,20.0,9.585798816568047
83600,2025-11-04,3340.0,0.0,4.120443740095087,take_profit,18.0,14.999999999999986
75040,2025-11-04,2833.0,0.0,1.5286171347316033,timeout_win,20.0,2.5767737380868336
44100,2025-11-04,874.0,0.0,2.853881278538813,timeout_loss,20.0,-2.402745995423341
75370,2025-11-04,1185.0,0.0,2.857142857142857,timeout_win,20.0,1.6877637130801686
25010,2025-11-04,7496.0,0.0,5.9261379902662465,timeout_win,20.0,7.964247598719316
42720,2025-11-04,1408.5,0.0,2.7706890266131974,take_profit,16.0,14.999999999999991
51050,2025-11-04,4222.0,0.0,6.102461074836765,timeout_win,20.0,0.5684509711037423
51010,2025-11-04,5548.0,0.0,2.905027932960894,timeout_win,20.0,12.094448449891852
